CODE, DESCRIPTION ,Brand,MODEL,CATEGORY,SUB_CATAGORY,START_YEAR,END_YEAR,OEM,PCS,NW,GW,M3,PRICE,MODE_SERIES,FRONT_BACK,LOCATION,REVIEWS,YEARS_ACCEPTED,IMAGE_NAME,unique_id
8-98158-615-0,FRONT BUMPER 4WD,Isuzu,TFR,Bumpers and Grilles,Bumper,2007,2007,8-98158-615-0,1,5.22082666,4.983234022,0.508822749,146.77,,Front,Single Part,"[{""rating"": 4.6, ""review"": ""This Bumper has made a noticeable difference in the overall performance of my car. It's durable, reliable, and has exceeded my expectations. Highly recommend it!""}]",[2007],,1
IZRD037 NC,RADIATOR MANUAL 2500 CC.,Isuzu,D-MAX,Engine and Mechanical Parts,Radiator,2003,2005,8-97333-350-3,1,6.075405899,7.742557706,0.331413058,465.05,3.0,Front,Single Part,"[{""rating"": 4.4, ""review"": ""I am impressed with the quality and functionality of this Radiator. It's easy to install and has improved the handling and stability of my vehicle. Great product!""}, {""rating"": 4.7, ""review"": ""I can't say enough good things about this Radiator. It's a perfect fit for my vehicle and has boosted its power and responsiveness. Very happy with my purchase!""}, {""rating"": 4.9, ""review"": ""I couldn't be happier with this Radiator. It has enhanced the driving dynamics of my car and provided a significant power boost. Well worth the investment!""}]","[2003, 2004, 2005]",,2
IZRD037 NM,RADIATOR MANUAL 3000 CC 2WD,Isuzu,D-MAX,Engine and Mechanical Parts,Radiator,2003,2005,8-97333-350-0,1,3.952441325,5.868040226,0.098635251,304.03,3.0,Front,Single Part,"[{""rating"": 4.5, ""review"": ""I'm extremely satisfied with this Radiator. It exceeded my expectations and significantly improved the performance of my vehicle. Highly recommended!""}, {""rating"": 4.4, ""review"": ""I am impressed with the quality and functionality of this Radiator. It's easy to install and has improved the handling and stability of my vehicle. Great product!""}]","[2003, 2004, 2005]",,3
DN28-51-040G,HEAD LAMP ASSY LH,Ford,FIESTA,Exterior Lighting and Signals,Head Lamp,2011,2011,DN28-51-040G,1,2.274428337,4.030633718,0.080036244,231.89,,Front,Left Side,"[{""rating"": 4.7, ""review"": ""I can't say enough good things about this Radiator. It's a perfect fit for my vehicle and has boosted its power and responsiveness. Very happy with my purchase!""}, {""rating"": 4.4, ""review"": ""I am impressed with the quality and functionality of this Radiator. It's easy to install and has improved the handling and stability of my vehicle. Great product!""}, {""rating"": 4.3, ""review"": ""This Head Lamp is fantastic! It has exceeded my expectations in terms of performance and reliability. I am extremely satisfied with its quality and durability.""}]",[2011],,4
DN28-51-030J,HEADLAMP ASSY RH,Ford,FIESTA,Exterior Lighting and Signals,Head Lamp,2011,2011,DN28-51-030J,1,2.238928151,4.648382771,0.073921641,117.06,,Front,Right Side,"[{""rating"": 4.9, ""review"": ""I couldn't be happier with this Radiator. It has enhanced the driving dynamics of my car and provided a significant power boost. Well worth the investment!""}]",[2011],,5
FDSP050 NA,COVER PART FOR REAR BUMPER,Ford,FOCUS,Exterior Body Panels,Side Panel,2009,2010,8M51-A17K922-AAW,1,6.711409792,9.613592022,2.386105952,211.09,5.0,Rear,Single Part,"[{""rating"": 4.8, ""review"": ""I highly recommend this Side Panel to anyone looking for an upgrade. It has greatly improved my vehicle's performance and delivered exceptional results. Five stars!""}]","[2009, 2010]",FORD_FOCUS_2009-2010_4_DOOR_COVER_PART_FOR_REAR_BUMPER.jpeg,6
IZRD047 NA,RADIATOR AUTO (AT-26MM),Isuzu,D-MAX,Engine and Mechanical Parts,Radiator,2006,2006,8-98047-679-0,1,5.855196345,6.318575945,0.071564812,328.37,4.0,Front,Single Part,"[{""rating"": 4.4, ""review"": ""I am impressed with the quality and functionality of this Radiator. It's easy to install and has improved the handling and stability of my vehicle. Great product!""}, {""rating"": 4.7, ""review"": ""I can't say enough good things about this Radiator. It's a perfect fit for my vehicle and has boosted its power and responsiveness. Very happy with my purchase!""}]",[2006],,7
8-97235-466-2,REAR FENDER FLARE,Isuzu,D-MAX,Doors and Door Components,Door,2004,2005,8-97235-466-2,1,1.526346353,2.285667456,0.100451833,797.2,,Front,Right Side,"[{""rating"": 4.6, ""review"": ""This Bumper has made a noticeable difference in the overall performance of my car. It's durable, reliable, and has exceeded my expectations. Highly recommend it!""}, {""rating"": 4.5, ""review"": ""I'm very pleased with this Door. It's a great addition to my vehicle, providing excellent performance and reliability. I would buy it again without hesitation!""}]","[2004, 2005]",,8
8-97235-465-2,REAR FENDER FLARE 2 DRS CAB,Isuzu,D-MAX,Accessories and Ornamental,Fender Flare,2004,2005,8-97235-465-2,1,1.585428344,1.978530297,0.122119005,128.35,,Back,Single Part,"[{""rating"": 4.8, ""review"": ""This Fender Flare is a game-changer! It has enhanced my driving experience and provided noticeable improvements in fuel efficiency. Great value for the price!""}, {""rating"": 4.5, ""review"": ""I'm extremely satisfied with this Radiator. It exceeded my expectations and significantly improved the performance of my vehicle. Highly recommended!""}]","[2004, 2005]",,9
IZFF037 SC,FENDER FLARE SET (6 PCS.) 2.0 MM,Isuzu,D-MAX,Accessories and Ornamental,Fender Flare,2002,2003,KTVL-PMP3O-4U,1,7.089012938,7.881199916,0.027535503,138.58,3.0,Front,Set,"[{""rating"": 4.8, ""review"": ""This Fender Flare is a game-changer! It has enhanced my driving experience and provided noticeable improvements in fuel efficiency. Great value for the price!""}]","[2002, 2003]",,10
IZFF037 SA,FENDER FLARE SET (6 PCS.) 2.5 MM,Isuzu,D-MAX,Accessories and Ornamental,Fender Flare,2002,2003,F5JE-721YS-VU,1,5.392769293,9.422665771,0.327722947,89.78,3.0,Front,Set,"[{""rating"": 4.8, ""review"": ""This Fender Flare is a game-changer! It has enhanced my driving experience and provided noticeable improvements in fuel efficiency. Great value for the price!""}, {""rating"": 4.5, ""review"": ""I'm very pleased with this Door. It's a great addition to my vehicle, providing excellent performance and reliability. I would buy it again without hesitation!""}]","[2002, 2003]",,11
IZFL057 SA,FOG LAMP W/WIRE AND COVER SETS,Isuzu,D-MAX,Exterior Lighting and Signals,Fog Lamp/ Front Lamp,2015,2017,5KM7-5XI0L-8W,1,12.00472615,29.39205094,0.94468913,106.41,5.0,Front,Left,"[{""rating"": 4.5, ""review"": ""I'm extremely satisfied with this Radiator. It exceeded my expectations and significantly improved the performance of my vehicle. Highly recommended!""}]","[2015, 2016, 2017]",,12
