NO,CODE,DESCRIPTION,Brand,MODEL,OEM,PCS,NW,GW,M3,START_YEAR,END_YEAR
1.0,DGB015 NA,FRONT BUMPER SRT,Dodge,CHARGER SRT,5PP39TZZAC/AE,1,19.053463665933045,2.6649451545956846,0.1477817537128437,2015,2023
1.0,FDB001 NA,FRONT BUMPER W/O HOLE,Ford,BANTUM,S61-17K819/17757,1,3.1049196043156404,3.1265415038068896,0.0486464192656199,2002,2008
2.0,FDS002 LA,REAR SIDE BUMPER CORNER LA SMALL,Ford,BANTAM,5S69-17-K825BB,20,2.8114493574589954,3.646710305879814,0.0364709060753697,2000,2007
,FDS002 RA,REAR SIDE BUMPER CORNER RH SMALL,Ford,BANTAM,5S69-17-K824BB,20,2.8326210236027,3.5525808067638573,0.0424434442625334,2000,2007
3.0,FDIF001 LA,INNER FENDER LH CANN'T SELL TO S.AFRICA,Ford,BANTAM,YS61-16-115AD,20,8.015934523498672,8.918168757314108,0.0275298791918538,2000,2010
,FDIF001 RA,INNER FENDER RH CANN'T SELL TO S.AFRICA,Ford,BANTAM,YS61-16-114AD,20,8.694502553200548,7.996263666273644,0.0278645746177759,2000,2010
4.0,FDFC001 NA,FOGLAMP COVER BK,Ford,BANTAM,S61-17K819/17757,10,12.55230294521879,7.212654125983178,0.9620651925012884,2002,2004
1.0,FDB001 NA,FRONT BUMPER W/O HOLE,Ford,BANTUM,S61-17K819/17757,1,2.759695390730021,3.5952103326409506,0.0458977452237137,2002,2008
2.0,FDB001 NB,FRONT BUMPER WITH FOG LAMP HOLE,Ford,BANTAM,00B1-C4KZ8-2V,1,2.814211772329453,3.545066541547962,0.0548933534775224,2003,2006
3.0,FDIF001 LA,INNER FENDER LH CANN'T SELL TO S.AFRICA,Ford,BANTAM,YS61-16-115AD,20,8.455280637782765,7.585759150574984,0.0266315905259071,2000,2010
,FDIF001 RA,INNER FENDER RH CANN'T SELL TO S.AFRICA,Ford,BANTAM,YS61-16-114AD,20,7.607761460848281,8.027648126025918,0.0277576861529285,2000,2010
4.0,FDS002 LA,REAR SIDE BUMPER CORNER LA SMALL,Ford,BANTAM,5S69-17-K825BB,20,2.5914873751525485,4.139466624381478,0.0402879987556704,2000,2007
,FDS002 RA,REAR SIDE BUMPER CORNER RH SMALL,Ford,BANTAM,5S69-17-K824BB,20,3.137565061322398,3.972911020610269,0.0353747916978854,2000,2007
5.0,FDFF001 SA,FENDER FLARE SET 4 PCS,Ford,BANTAM,2S64P16114,1,3.7895499869214255,4.075056874551921,0.0494279850703836,2003,2006
6.0,FDFF001 SB,FENDER FLARE SET 6 PCS,Ford,BANTAM,5S69P16,1,3.271343157711142,4.496261017575297,0.0464264432811687,2006,2009
7.0,FDFC001 NA,FOGLAMP COVER BK,Ford,BANTAM,S61-17K819/17757,10,0.2713419385401847,3.680781629097206,0.0026228651884124,2002,2004
1.0,FDB003 NA,FRONT BUMPER BK,Ford,BANTAM,8N29-17-757AAW,1,2.995427244988784,3.984740418789579,0.0535717348074318,2009,2010
2.0,FDB003 NB,FRONT BUMPER W/ F.F HOLE,Ford,BANTAM,8N29-17-757AAW,1,4.5006580376810446,4.967324779047745,0.0619666744489292,2009,2011
3.0,FDB003 SA,FRONT BUMPER WITH FOG LAMP COVER W/O HOLE SETS,Ford,BANTAM,8N29-17-757AAW,1,4.603459323444472,5.039685208165665,0.0543445352972971,2009,2011
4.0,FDFC003 LA,FOG LAMP COVER W/O HOLE,Ford,BANTAM,8N29F01920AA,60,3.537544646170296,4.401300222413332,0.0746090292455079,2009,2010
,FDFC003 RA,FOG LAMP COVER RH W/O HOLE,Ford,BANTAM,8N29F01921AA,60,4.091517119002551,4.978447235188734,0.0708797751045551,2009,2010
5.0,FDFC003 LB,FOG LAMP COVER W/HOLE LH,Ford,BANTAM,8N29F01920BB,60,6.740329151251338,5.592551877849655,0.0720018930787535,2009,2010
,FDFC003 RB,FOG LAMP COVER W/ HOLE RH,Ford,BANTAM,8N29F01921BB,60,6.392395932626798,6.023591636187333,0.0720334130045182,2009,2010
6.0,FDL001 RA,TAIL LAMP RH,Ford,BANTAM,3ZQW-XLLNA-O1,1,9.68069149415452,0.0232062760790277,0.1704921918997234,2009,2010
,FDL001 LA,TAIL LAMP LH,Ford,BANTAM,3Y1A-CFT5E-FP,1,5.771617869978094,0.4300707692482193,0.9767658838402672,2009,2010
7.0,FDIF003 LA,INNER FENDER LH,Ford,BANTAM,YS61-16-115AD,10,3.869618448964165,5.619838012895978,0.0438302968955618,2009,2010
,FDIF003 RA,INNER FENDER RH,Ford,BANTAM,YS61-16-114AD,10,4.104261110701608,4.63539056257672,0.0433466725210037,2009,2010
