NO,CODE,DESCRIPTION,Brand,MODEL,OEM,PCS,NW,GW,M3,START_YEAR,END_YEAR,manufacturer,part_type,model_series,front/back,location
10,UR90-51-W30E9,2FENDER FLARE FRONT LH SILVER,Ford,DURATORQUE,UR90-51-W30E92,1,5.37,12.58,0.45,"2,006","2,008",,Fender Flare,,Front,Center
11,UR97-51-W60J0,8REAR FENDER FLARE LH,Ford,RANGER,UR97-51-W60J08,1,4.91,5.06,0.3,"2,006","2,009",,Fender Flare,,Front,Center
,UR97-51-W50J0,8REAR FENDER FLARE RH,Ford,RANGER,UR97-51-W50J08,1,1.29,5.84,0.35,"2,006","2,009",,Fender Flare,,Front,Center
8,FDCD035 NA,A/C CONDENSOR,Ford,BT-50/RANGE,UM65-61-480A,1,1.5,2.91,0.99,"2,005","2,008",,,,,
1,IZCD047 NA,A/C CONDENSOR,Isuzu,D-MAX,8-98071-118-0,1,6.39,7.11,1.59,"2,007","2,007",,,,,
4,8-97944-150-0,A/C FAN,Isuzu,D-MAX,8-97944-150-0,1,3.01,21.73,0.77,"2,007","2,008",,Air Condensor,,Front,Center
5,8-97321-270-0,A/C FAN,Isuzu,D-MAX,8-97321-270-0,1,1.1,1.36,0.01,"2,005","2,006",,Air Condensor,,Front,Center
7,8-97356-646-0,A/C FAN ELECTRIC,Isuzu,DMAX,8-97356-646-0,1,1.72,1.68,0.01,"2,005","2,005",,Air Condensor,,Front,Center
9,8-98104-505-5,A/CLEANER HOUSING,Isuzu,D-MAX,8-98104-505-5,1,3.6,3.68,0.05,"2,012","2,016",,Air Condensor,,Front,Center
15,AV11-19-710KA,AC CONDENSER,Ford,ECOSPORT,AV1Z-19-712C,1,2.37,2.99,0.05,"2,015","2,018",,Air Condensor,,Front,Center
9,AB3Z-19-712D,AC CONDENSER,Ford,RANGER,AB3Z-19-712D,1,2.73,3.44,0.05,"2,017","2,019",,Air Condensor,,Front,Center
14,8-98071-126-0,AC CONDENSOR 4WD 4DOOR,Isuzu,D-MAX,8-98071-126-0,1,4.03,4.39,0.06,"2,004","2,004",,Air Condensor,,Front,Center
6,8-97408-901-0,AIR BAG DRIVER OEM,Isuzu,DMAX,8-97408-901-0,1,4.68,5.14,0.02,"2,007","2,007",,Hood,,Front,Center
1,8-97942-409-2,AIR CLEANER,Isuzu,DMAX,8-97942-409-2,1,1.71,2.44,0.04,"2,003","2,005",,Hood,,Front,Center
1,WE01-13-320B,AIR CLEANER 3200 CC ONLY,Ford,RANGER,WE01-13-320B,1,3.68,4.34,0.04,"2,007","2,009",,Hood,,Front,Center
5,AB39-96-00C,AIR CLEANER ASSY WITH AIR FILTER,Ford,RANGER,AB39-96-00CJ,1,2.26,2.74,0.05,"2,014","2,014",,Hood,,Front,Center
11,8-98140-264-0,AIR CLEANER COVER UPP,Isuzu,DMAX,8-98140-264-0,1,1.07,1.13,1.32,"2,013","2,013",,Hood,,Front,Center
2,8-97942-409-3,AIR CLEANER HOUSING,Isuzu,D-MAX,8-97942-409-3,1,2,2.33,0.05,"2,003","2,004",,Hood,,Front,Center
14,WL81-13-320,AIR CLEANER HOUSING 2500 CC,Ford,FORD RANGER,WL81-13-320D,1,1.63,1.85,0.03,"1,998","2,009",,Hood,,Front,Center
1,FDAH047 NA,AIR CLEANING,Ford,FOCUS,7M51-9600-AF,1,8.15,15.31,0.03,"2,009","2,010",,,,,
1,UM65-61-480,AIR CONDENSOR,Ford,RANGER,UM65-61-480A,1,2.22,2.58,0.03,"2,010","2,010",,Air Condensor,,Front,Center
10,EB3B-8C-333AC,AIR DEFLECTOR LOWER,Ford,EVEREST,EB3Z-83-27C,1,1.07,1,0.06,"2,016","2,017",,Air Condensor,,Front,Center
7,IZAH055 NA,AIR FILTER CONTAINER ENGINE CODE : 4JJ,Isuzu,ALL NEW DMAX,8-98104-505-4,1,1.47,1.7,0.04,"2,012","2,016",,,,,
8,8-98103-916-4,AIR FILTER CONTAINER ENGINE CODE : 4JK,Isuzu,ALL NEW DMAX,8-98103-916-4,1,1.96,3,0.05,"2,012","2,013",,Air Condensor,,Front,Center
18,8-98008-888-2,AIR FILTER HOUSING LOWER 4JJ1 OEM,Isuzu,D-MAX,8-98008-888-2,1,1.94,2.48,0.05,"2,007","2,007",,Air Condensor,,Front,Center
1,8-98008-889-2,AIR FILTER HOUSING UPPER - 4JJ1 OEM,Isuzu,D-MAX,8-98008-889-2,1,1.92,2.42,0.05,"2,007","2,007",,Air Condensor,,Front,Center
16,FDAH013 SP,AIR FILTER INTAKE,Ford,FIESTA,ZJ38-132-00B,1,5.91,6.93,0.66,"2,009","2,010",,,,,
2,FDAH041 NA,AIR FILTER INTAKE,Ford,FOCUS,5M51-96-00BB,5,6.76,7.66,0.24,"2,005","2,007",,,,,
3,8-97942-410-2,AIR FILTER METAL FRAME 4 JA1,Isuzu,D-MAX,8-97942-410-2,1,1.96,2.11,0.05,"2,002","2,005",,Air Condensor,,Front,Center
16,CN15-8B-384AB,AIR GUIDE LOWER,Ford,ECOSPORT,CN15-8B-384AB,1,1.11,1.21,0.02,"2,015","2,018",,Air Condensor,,Front,Center
2,CN15-A0-01A04AA,AIR GUIDE UPPER,Ford,ECOSPORT,CN15-A0-01A04AA,1,0.25,0.36,0.02,"2,015","2,018",,Air Condensor,,Front,Center
15,FDAH013 NA,AIR HOUSE CLEANING,Ford,FIESTA,ZJ36-13Z-02A,1,0.27,1.38,0.05,"2,009","2,010",,,,,
3,FDAI041 NA,AIR INTAKE,Ford,FOCUS 4/5 Drs,5M51-9E635-AB,1,23.67,9.14,0.71,"2,005","2,006",,,,,
2,FDAI047 NA,AIR INTAKE,Ford,FOCUS,7M51-9E635-AD,1,16.51,7.04,0.61,"2,009","2,010",,,,,
5,FDP093 NA,APRON,Ford,TOURNEO COURIER,ET76-14778-AB,1,0.95,13.07,0.03,"2,014","2,015",,,,,
8,UH82-63-930B,BACK GLASS,Ford,RANGER,UH82-63-930B,1,3.5,5.02,0.06,"2,003","2,005",,Window Regulator,,Back,Upper
4,8-97331-610-0,BACK GLASS (CLEAN MOISTURE),Isuzu,DMAX,8-97331-610-0,1,3.33,3.35,0.04,"2,005","2,006",,Window Regulator,,Back,Upper
13,IZBL049 NA,BACK LAMP STOP,Isuzu,D'MAX,8-97381-629-0/8-97305-671,1,10.06,24.84,0.4,"2,002","2,007",,,,,
7,FDBP011 NA,BACK SPOILER,Ford,FIESTA,KSYX-XAL9H-Y7,1,7.21,5.47,1.01,"2,003","2,005",,,,,
11,FDBP013 NA,BACK SPOILER,Ford,FIESTA,8A69-44210,1,0.02,14.92,0.76,"2,009","2,010",,,,,
10,FDBP013 NA,BACK SPOILER,Ford,FIESTA,8A69-44210,1,1.72,9.78,0.13,"2,009","2,010",,,,,
7,FDBP043 NA,BACK SPOILER,Ford,FOCUS 5 Door,5M51-A44210-AK,1,21.78,22.23,1.38,"2,005","2,006",,,,,
12,IZBL055 NA,BACK UP LAMP (RED),Isuzu,D-MAX,8-98255-655-2,20,8.13,5.32,0.05,"2,012","2,016",,,,,
15,IZBL051 NA,BACK UP LAMP CLEAR,Isuzu,D-MAX,8-97305-671-0,10,6.3,7.39,0.04,"2,008","2,010",,,,,
11,IZBL039 NA,BACK UP LIGHT RED,Isuzu,ISUZU D-MAX,8-97381-629-0/8-97305-671,1,6.5,6.55,0.6,"2,002","2,005",,,,,
1,IZBL039 NA,BACK UP LIGHT RED,Isuzu,ISUZU D-MAX,8-97381-629-0,1,11.31,5.56,1,"2,002","2,005",,,,,
8,8-98073-092-2,BACKLID,Isuzu,D-MAX,8-98073-092-2,1,3.01,3,0.05,"2,012","2,016",,Rear Bumper Lamp,,Back,Lower
8,FDBC039 MB,BED LINER DOUBEL CAB,Ford,RANGER,VEF5-R9C3V-Z2,1,16.84,20.95,0.07,"2,012","2,015",,,,,
18,IZBC039 NB,BED LINER DOUBLE CAB,Isuzu,D-MAX,7RV1-53N72-JX,1,5.77,1.98,0.73,"2,002","2,005",,,,,
6,IZBC047 NA,BED LINER FLAT BED,Isuzu,D-MAX,DBLF-K4EHV-WR,1,24.64,26.11,0.13,"2,006","2,011",,,,,
7,FDBC039 NA,BED LINER SINGLE CAB,Ford,RANGER,A468-JKWU2-E7,1,22.26,21.94,0.68,"2,013","2,015",,,,,
17,IZBC039 NA,BED LINER SINGLE CAB,Isuzu,D-MAX,I7N1-0P84U-CY,1,8.7,1.96,0.11,"2,002","2,005",,,,,
6,8-98074-257-4,BPR BRKT FLH SIDE,Isuzu,DMAX,8-98074-257-4,1,0.15,0.15,0,"2,013","2,013",,Bumper Bracket,,Back,Lower
,8-98074-256-4,BPR BRKT FRH SIDE,Isuzu,DMAX,8-98074-256-4,1,0.13,0.18,0,"2,013","2,013",,Bumper Bracket,,Back,Lower
5,F1EJ-15-A299A3B5UAW,BRACKET FOG LAMP,Ford,FOCUS,F1EJ-15-A299A3B5UAW,1,0.18,0.47,0.01,"2,016","2,016",,Fog Lamp,,Back,Lower
,F1EJ-15-A298A3B5UAW,BRACKET FOG LAMP,Ford,FOCUS,F1EJ-15-A298A3B5UAW,1,0.19,0.52,0.01,"2,016","2,016",,Fog Lamp,,Back,Lower
15,8-97238-049-0,BRACKET FRONT BUMPER,Isuzu,D-MAX,8-97236-049-0,1,0.27,0.29,0,"2,002","2,005",,Bumper Bracket,,back,Lower
16,8-98163-230-0,BRAKE MASTER CYL OEM,Isuzu,D-MAX,8-98163-230-0,1,0.58,0.82,0.01,"2,012","2,016",,Brake Adjust Part,,Back,Lower
15,IZBS030 LL,BUMPER BRACKET L(BIG) LH L2,Isuzu,GM,PGFK-TCXZT-EO,1,0.58,0.47,0.01,"2,001","2,003",,,,,
,IZBS030 LR,BUMPER BRACKET L(BIG) RH R1,Isuzu,GM,SJ9G-BLZ6R-LN,1,2.02,2.02,0.02,"2,001","2,003",,,,,
13,UR87-50-0U0B,BUMPER BRACKET LH,Ford,DURATORQUE,UR87-50-0U0B,1,0.28,0.21,0.01,"2,006","2,009",,Bumper Bracket,,Back,Lower
4,UD2D-50-0U0,BUMPER BRACKET LH,Ford,DURATORQUE,UD2D-50-0U0,1,0.26,0.25,0,"2,009","2,010",,Bumper Bracket,,Back,Lower
