NO,CODE,DESCRIPTION,Brand,MODEL,OEM,PCS,NW,GW,M3,START_YEAR,END_YEAR,manufacturer,part_type,model_series,numbering_guide,location
1,DGB015 NA,FRONT BUMPER SRT,Dodge,CHARGER SRT,5PP39TZZAC/AE,1,19.05346367,2.664945155,0.147781754,2015,2023,,,,,
1,FDB001 NA,FRONT BUMPER W/O HOLE,Ford,BANTAM,S61-17K819/17757,1,3.104919604,3.126541504,0.048646419,2002,2008,,,,,
2,FDS002 LA,REAR SIDE BUMPER CORNER LA SMALL,Ford,BANTAM,5S69-17-K825BB,20,2.811449357,3.646710306,0.036470906,2000,2007,,,,,
,FDS002 RA,REAR SIDE BUMPER CORNER RH SMALL,Ford,BANTAM,5S69-17-K824BB,20,2.832621024,3.552580807,0.042443444,2000,2007,,,,,
3,FDIF001 LA,INNER FENDER LH CANN'T SELL TO S.AFRICA,Ford,BANTAM,YS61-16-115AD,20,8.015934523,8.918168757,0.027529879,2000,2010,,,,,
,FDIF001 RA,INNER FENDER RH CANN'T SELL TO S.AFRICA,Ford,BANTAM,YS61-16-114AD,20,8.694502553,7.996263666,0.027864575,2000,2010,,,,,
4,FDFC001 NA,FOGLAMP COVER BK,Ford,BANTAM,S61-17K819/17757,10,12.55230295,7.212654126,0.962065193,2002,2004,,,,,
1,FDB001 NA,FRONT BUMPER W/O HOLE,Ford,BANTAM,S61-17K819/17757,1,2.759695391,3.595210333,0.045897745,2002,2008,,,,,
2,FDB001 NB,FRONT BUMPER WITH FOG LAMP HOLE,Ford,BANTAM,00B1-C4KZ8-2V,1,2.814211772,3.545066542,0.054893353,2003,2006,,,,,
3,FDIF001 LA,INNER FENDER LH CANN'T SELL TO S.AFRICA,Ford,BANTAM,YS61-16-115AD,20,8.455280638,7.585759151,0.026631591,2000,2010,,,,,
,FDIF001 RA,INNER FENDER RH CANN'T SELL TO S.AFRICA,Ford,BANTAM,YS61-16-114AD,20,7.607761461,8.027648126,0.027757686,2000,2010,,,,,
4,FDS002 LA,REAR SIDE BUMPER CORNER LA SMALL,Ford,BANTAM,5S69-17-K825BB,20,2.591487375,4.139466624,0.040287999,2000,2007,,,,,
,FDS002 RA,REAR SIDE BUMPER CORNER RH SMALL,Ford,BANTAM,5S69-17-K824BB,20,3.137565061,3.972911021,0.035374792,2000,2007,,,,,
5,FDFF001 SA,FENDER FLARE SET 4 PCS,Ford,BANTAM,2S64P16114,1,3.789549987,4.075056875,0.049427985,2003,2006,,,,,
6,FDFF001 SB,FENDER FLARE SET 6 PCS,Ford,BANTAM,5S69P16,1,3.271343158,4.496261018,0.046426443,2006,2009,,,,,
7,FDFC001 NA,FOGLAMP COVER BK,Ford,BANTAM,S61-17K819/17757,10,0.271341939,3.680781629,0.002622865,2002,2004,,,,,
1,FDB003 NA,FRONT BUMPER BK,Ford,BANTAM,8N29-17-757AAW,1,2.995427245,3.984740419,0.053571735,2009,2010,,,,,
2,FDB003 NB,FRONT BUMPER W/ F.F HOLE,Ford,BANTAM,8N29-17-757AAW,1,4.500658038,4.967324779,0.061966674,2009,2011,,,,,
3,FDB003 SA,FRONT BUMPER WITH FOG LAMP COVER W/O HOLE SETS,Ford,BANTAM,8N29-17-757AAW,1,4.603459323,5.039685208,0.054344535,2009,2011,,,,,
4,FDFC003 LA,FOG LAMP COVER W/O HOLE,Ford,BANTAM,8N29F01920AA,60,3.537544646,4.401300222,0.074609029,2009,2010,,,,,
,FDFC003 RA,FOG LAMP COVER RH W/O HOLE,Ford,BANTAM,8N29F01921AA,60,4.091517119,4.978447235,0.070879775,2009,2010,,,,,
5,FDFC003 LB,FOG LAMP COVER W/HOLE LH,Ford,BANTAM,8N29F01920BB,60,6.740329151,5.592551878,0.072001893,2009,2010,,,,,
,FDFC003 RB,FOG LAMP COVER W/ HOLE RH,Ford,BANTAM,8N29F01921BB,60,6.392395933,6.023591636,0.072033413,2009,2010,,,,,
6,FDL001 RA,TAIL LAMP RH,Ford,BANTAM,3ZQW-XLLNA-O1,1,9.680691494,0.023206276,0.170492192,2009,2010,,,,,
,FDL001 LA,TAIL LAMP LH,Ford,BANTAM,3Y1A-CFT5E-FP,1,5.77161787,0.430070769,0.976765884,2009,2010,,,,,
7,FDIF003 LA,INNER FENDER LH,Ford,BANTAM,YS61-16-115AD,10,3.869618449,5.619838013,0.043830297,2009,2010,,,,,
,FDIF003 RA,INNER FENDER RH,Ford,BANTAM,YS61-16-114AD,10,4.104261111,4.635390563,0.043346673,2009,2010,,,,,
8,FDBS004 LA,REAR BUMPER BRACKET LH,Ford,BANTAM,8H2R-SG892-Y4,1,0.199528526,0.183609656,0.014837227,2004,2009,,,,,
,FDBS004 RA,REAR BUMPER BRACKET RH,Ford,BANTAM,OPLM-L70CT-QG,1,0.195791971,0.177147531,0.01513586,2004,2009,,,,,
